id,propositions,nl_sentence,dataset_tl
1005,"['take_orange', 'go_to_pear']",take orange or repeatedly go to pear,take_orange|G(F(go_to_pear))
2374,"['approach_trash_can', 'venture_flag']",approach trash can and at some time venture flag,approach_trash_can&F(venture_flag)
2218,"['gather_pear', 'grab_orange']",at some time gather pear or whenever grab orange,F(gather_pear)|F(grab_orange)
4019,"['be_at_house', 'seize_orange']",at any time be at house means that when possible seize orange,F(be_at_house)->F(seize_orange)
2213,"['take_pear', 'hold_orange']",take pear and hold orange,take_pear&hold_orange
1155,"['secure_apple', 'go_by_waste_basket']",secure apple and whenever go by waste basket,secure_apple&F(go_by_waste_basket)
1036,"['clutch_orange', 'drop_pear']",at some time clutch orange or drop pear,F(clutch_orange)|drop_pear
4717,"['reach_trash_can', 'touch_house']",reach trash can or when possible touch house,reach_trash_can|F(touch_house)
3585,"['drop_orange', 'snatch_pear']",never drop orange or when possible snatch pear,G(~(drop_orange))|F(snatch_pear)
4247,"['go_by_house', 'gather_pear']",at some time go by house or when possible gather pear,F(go_by_house)|F(gather_pear)
1769,"['stop_by_flag', 'let_go_orange']",stop by flag until never let go orange,stop_by_flagUG(~(let_go_orange))
3129,"['acquire_orange', 'travel_to_trash_can']",acquire orange until when possible travel to trash can,acquire_orangeUF(travel_to_trash_can)
3174,"['drop_pear', 'go_to_flag']",never drop pear means that at any time go to flag,G(~(drop_pear))->F(go_to_flag)
1729,"['start_going_to_house', 'keep_apple']",at some time start going to house and keep apple,F(start_going_to_house)&keep_apple
3173,"['go_by_house', 'get_apple']",at any time go by house and when possible get apple,F(go_by_house)&F(get_apple)
2728,"['touch_flag', 'walk_to_flag']",always touch flag until when possible walk to flag,G(touch_flag)UF(walk_to_flag)
2580,"['stand_by_tree', 'gather_pear']",whenever stand by tree or at any time gather pear,F(stand_by_tree)|F(gather_pear)
1148,"['venture_towards_house', 'secure_apple']",venture towards house and secure apple,venture_towards_house&secure_apple
3980,"['go_near_flag', 'hold_on_to_pear']",whenever go near flag and hold on to pear,F(go_near_flag)&hold_on_to_pear
3814,"['pick_up_flag', 'go_to_bucket']","when pick up flag , go to bucket",pick_up_flag->go_to_bucket
1232,"['lay_hold_of_apple', 'drop_pear']",when possible lay hold of apple and drop pear,F(lay_hold_of_apple)&drop_pear
1740,"['put_in_apple_bucket', 'take_possession_of_bear']",put in apple bucket until when possible take possession of bear,put_in_apple_bucketUF(take_possession_of_bear)
1212,"['come_to_tree', 'get_near_flag']",come to tree and at any time get near flag,come_to_tree&F(get_near_flag)
4930,"['grab_pear', 'pick_up_peach']",at some time grab pear and whenever pick up peach,F(grab_pear)&F(pick_up_peach)
3078,"['get_close_tree', 'journey_by_house']",at any time get close tree or at some time journey by house,F(get_close_tree)|F(journey_by_house)
2570,"['go_by_flag', 'scoop_up_pear']",whenever go by flag or at some time scoop up pear,F(go_by_flag)|F(scoop_up_pear)
1256,"['secure_apple', 'secure_apple']",secure apple until secure apple,secure_appleUsecure_apple
2264,"['touch_flag', 'go_to_trash_bin']",always touch flag or at any time go to trash bin,G(touch_flag)|F(go_to_trash_bin)
1401,"['withhold_apple', 'venture_towards_house']",when possible withhold apple and venture towards house,F(withhold_apple)&venture_towards_house
4192,"['go_to_bucket', 'take_to_tree']",go to bucket and take to tree,go_to_bucket&take_to_tree
2375,"['go_to_apple_trashcan', 'be_in_houses_vicinity']",repeatedly go to apple trashcan until whenever be in house's vicinity,G(F(go_to_apple_trashcan))UF(be_in_houses_vicinity)
5287,"['go_to_home', 'gather_orange']",when possible go to home until gather orange,F(go_to_home)Ugather_orange
1402,"['proceed_to_flag', 'drop_orange']",at some time proceed to flag or never drop orange,F(proceed_to_flag)|G(~(drop_orange))
3238,"['pick_up_apple', 'advance_to_house']",when possible pick up apple and at any time advance to house,F(pick_up_apple)&F(advance_to_house)
1001,"['walk', 'travel_to_flag']",walk until whenever travel to flag,walkUF(travel_to_flag)
3356,"['withold_apple', 'travel_to_house']",when possible withold apple or when possible travel to house,F(withold_apple)|F(travel_to_house)
2289,"['show_yourself_near_house', 'take_to_trash_can']",whenever show yourself near house or take to trash can,F(show_yourself_near_house)|take_to_trash_can
4014,"['seize_pear', 'pass_by_trash_bin']",whenever seize pear and at some time pass by trash bin,F(seize_pear)&F(pass_by_trash_bin)
1808,"['bring_pear', 'venture_towards_house']",at any time bring pear or venture towards house,F(bring_pear)|venture_towards_house
2182,"['come_to_tree', 'go_to_trashcan']",come to tree or at some time go to trashcan,come_to_tree|F(go_to_trashcan)
5224,"['journey_by_house', 'make_your_way_flag']",at some time journey by house or at some time make your way flag,F(journey_by_house)|F(make_your_way_flag)
3065,"['drop_by', 'hold_on_to_pear']","if drop by , hold on to pear",drop_by->hold_on_to_pear
5641,"['reach_tree', 'make_way_for_tree']",when possible reach tree and when possible make way for tree,F(reach_tree)&F(make_way_for_tree)
3996,"['seize_orange', 'shift_to_flag']",whenever seize orange and whenever shift to flag,F(seize_orange)&F(shift_to_flag)
5718,"['walk_to_flag', 'collect_orange']",when possible walk to flag and when possible collect orange,F(walk_to_flag)&F(collect_orange)
5709,"['scoop_up_apple', 'approach_flag']",when possible scoop up apple and when possible approach flag,F(scoop_up_apple)&F(approach_flag)
2653,"['get_close_tree', 'go_to_tree']",when possible get close tree and whenever go to tree,F(get_close_tree)&F(go_to_tree)
4596,"['approach_tree', 'travel_by_tree']",approach tree or at some time travel by tree,approach_tree|F(travel_by_tree)
3761,"['pass_by_waste_receptacle', 'go_to_tree']",when possible pass by waste receptacle can infer that when possible go to tree,F(pass_by_waste_receptacle)->F(go_to_tree)
1745,"['snag_orange', 'drop_pear']",whenever snag orange and drop pear,F(snag_orange)&drop_pear
2745,"['venture_to_waste_basket', 'stand_by_tree']",at any time venture to waste basket and at any time stand by tree,F(venture_to_waste_basket)&F(stand_by_tree)
3916,"['go_home', 'get_hold_of_pear']",when possible go home or get hold of pear,F(go_home)|get_hold_of_pear
3806,"['touch_house', 'get_hold_orange']",at some time touch house can infer that when possible get hold orange,F(touch_house)->F(get_hold_orange)
2137,"['take_to_trashcan', 'get_near_flag']",take to trashcan or at any time get near flag,take_to_trashcan|F(get_near_flag)
1997,"['move_around', 'travel_house']",forever move around until when possible travel house,G(move_around)UF(travel_house)
2378,"['have_in_orange', 'reach_house']",forever have in orange until reach house,G(have_in_orange)Ureach_house
1619,"['venture_to_house', 'go_by_waste_bin']",when possible venture to house and go by waste bin,F(venture_to_house)&go_by_waste_bin
1820,"['withdraw_pear', 'move_near_tree']",at any time withdraw pear or at some time move near tree,F(withdraw_pear)|F(move_near_tree)
5405,"['hold_pear', 'travel_house']",hold pear can infer that when possible travel house,hold_pear->F(travel_house)
1796,"['stop_by_house', 'travel_to_apple']",at some time stop by house or travel to apple,F(stop_by_house)|travel_to_apple
1398,"['bring_pear', 'bring_pear']",at any time bring pear or at some time bring pear,F(bring_pear)|F(bring_pear)
2708,"['haul_pear', 'have_apple']",whenever haul pear until forever have apple,F(haul_pear)UG(have_apple)
3294,"['walk_near_flag', 'advance_to_house']",whenever walk near flag and whenever advance to house,F(walk_near_flag)&F(advance_to_house)
4521,"['take_apple', 'travel_to_waste_bin']",take apple and travel to waste bin,take_apple&travel_to_waste_bin
4814,"['go_home', 'pick_up_fruit']",at some time go home or pick up fruit,F(go_home)|pick_up_fruit
5410,"['drop_by', 'venture_to_flag']","when drop by , whenever venture to flag",drop_by->F(venture_to_flag)
1492,"['grab_flag', 'migrate_to_tree']","if whenever grab flag , whenever migrate to tree",F(grab_flag)->F(migrate_to_tree)
4866,"['move', 'going_to_house']",forever move means that when possible going to house,G(move)->F(going_to_house)
1675,"['visit_tree', 'take_pear']",visit tree or take pear,visit_tree|take_pear
3929,"['pick_up_fruit', 'let_go_apple']","when pick up fruit , never let go apple",pick_up_fruit->G(~(let_go_apple))
5086,"['make_your_way_flag', 'gather_apple']",when possible make your way flag or gather apple,F(make_your_way_flag)|gather_apple
1305,"['drop_apple', 'secure_apple']",never drop apple or secure apple,G(~(drop_apple))|secure_apple
3009,"['move_past_trash_can', 'get_close_tree']",when possible move past trash can and whenever get close tree,F(move_past_trash_can)&F(get_close_tree)
4996,"['seize_apple', 'grasp_orange']",seize apple or grasp orange,seize_apple|grasp_orange
3457,"['get_hold_apple', 'move_to_house']",at some time get hold apple or move to house,F(get_hold_apple)|move_to_house
4397,"['steal_apple', 'drop_apple']",at some time steal apple or never drop apple,F(steal_apple)|G(~(drop_apple))
2374,"['obtain_apple', 'go_to_tree']",at some time obtain apple and whenever go to tree,F(obtain_apple)&F(go_to_tree)
1468,"['got_to_house', 'drop_orange']",whenever got to house or never drop orange,F(got_to_house)|G(~(drop_orange))
3486,"['advance_to_house', 'collect_pear']","if whenever advance to house , collect pear",F(advance_to_house)->collect_pear
2445,"['make_way_waste_basket', 'track_towards_tree']",whenever make way waste basket or at some time track towards tree,F(make_way_waste_basket)|F(track_towards_tree)
2415,"['drop_orange', 'stop_by_trash_can']",drop orange or when possible stop by trash can,drop_orange|F(stop_by_trash_can)
5820,"['move_around', 'gather_orange']",forever move around or gather orange,G(move_around)|gather_orange
1514,"['hold_onto_orange', 'make_contact_with_house']",forever hold onto orange or at some time make contact with house,G(hold_onto_orange)|F(make_contact_with_house)
3983,"['reach_trash_can', 'capture_orange']",reach trash can or capture orange,reach_trash_can|capture_orange
1433,"['spend_time_at_tree', 'be_in_houses_vicinity']",when possible spend time at tree or when possible be in house's vicinity,F(spend_time_at_tree)|F(be_in_houses_vicinity)
1111,"['withhold_apple', 'bring_pear']",at some time withhold apple or at some time bring pear,F(withhold_apple)|F(bring_pear)
2246,"['clutch_orange', 'approach_trash_can']",at some time clutch orange or approach trash can,F(clutch_orange)|approach_trash_can
3946,"['go_to_home', 'tax_apple']",at some time go to home or at some time tax apple,F(go_to_home)|F(tax_apple)
1516,"['make_way_to_house', 'drop_orange']",repeatedly make way to house or drop orange,G(F(make_way_to_house))|drop_orange
1245,"['go_by_waste_bin', 'secure_apple']",go by waste bin and secure apple,go_by_waste_bin&secure_apple
2319,"['make_to_flag', 'grab_hold_pear']","if at some time make to flag , grab hold pear",F(make_to_flag)->grab_hold_pear
1987,"['move_past_trash_can', 'venture_to_trash_can']",when possible move past trash can or venture to trash can,F(move_past_trash_can)|venture_to_trash_can
2978,"['visit_tree', 'have_possession_of_apple']",visit tree or at any time have possession of apple,visit_tree|F(have_possession_of_apple)
2396,"['clutch_orange', 'hold_on_pear']",when possible clutch orange or always hold on pear,F(clutch_orange)|G(hold_on_pear)
3104,"['haul_pear', 'shift_to_flag']",at some time haul pear or at some time shift to flag,F(haul_pear)|F(shift_to_flag)
1237,"['venture_to_house', 'venture_to_house']",at any time venture to house or when possible venture to house,F(venture_to_house)|F(venture_to_house)
1228,"['grab_hold_pear', 'let_go_pear']","when grab hold pear , do not let go pear",grab_hold_pear->~(let_go_pear)
4354,"['go_past_house', 'acquire_orange']",at any time go past house or acquire orange,F(go_past_house)|acquire_orange
4282,"['touch_flag', 'show_yourself_near_house']",forever touch flag or when possible show yourself near house,G(touch_flag)|F(show_yourself_near_house)
4480,"['get_apple', 'pick_up_apple']",at some time get apple or at some time pick up apple,F(get_apple)|F(pick_up_apple)
1965,"['withhold_apple', 'venture_to_house']","if when possible withhold apple , whenever venture to house",F(withhold_apple)->F(venture_to_house)
1877,"['moving', 'have_in_orange']",always moving or always have in orange,G(moving)|G(have_in_orange)
3105,"['journey_to_house', 'venture_house']",whenever journey to house or when possible venture house,F(journey_to_house)|F(venture_house)
1028,"['grab_flag', 'be_in_houses_vicinity']",at some time grab flag or when possible be in house's vicinity,F(grab_flag)|F(be_in_houses_vicinity)
2168,"['get_to_tree', 'let_go_pear']",get to tree or do not let go pear,get_to_tree|~(let_go_pear)
1847,"['go_by_waste_bin', 'go_by_waste_bin']",go by waste bin or go by waste bin,go_by_waste_bin|go_by_waste_bin
4673,"['go_by_house', 'going_to_flag']",at any time go by house or when possible going to flag,F(go_by_house)|F(going_to_flag)
3500,"['move_to_house', 'pick_up_pear']",move to house means that pick up pear,move_to_house->pick_up_pear
2266,"['go_visit_house', 'pick_up_fruit']",when possible go visit house can infer that pick up fruit,F(go_visit_house)->pick_up_fruit
1215,"['acquire_pear', 'move_to_house']","if when possible acquire pear , move to house",F(acquire_pear)->move_to_house
1290,"['make_to_flag', 'drop_pear']",whenever make to flag or drop pear,F(make_to_flag)|drop_pear
5395,"['make_way_for_tree', 'go_near_pear']",when possible make way for tree and when possible go near pear,F(make_way_for_tree)&F(go_near_pear)
1668,"['get_apple', 'go_visit_house']",when possible get apple or at any time go visit house,F(get_apple)|F(go_visit_house)
2640,"['pass_by_trash_bin', 'stop_by_trash_can']",at any time pass by trash bin means that when possible stop by trash can,F(pass_by_trash_bin)->F(stop_by_trash_can)
4232,"['grab_pear', 'stop_by_trash_can']",when possible grab pear or when possible stop by trash can,F(grab_pear)|F(stop_by_trash_can)
5288,"['touch_tree', 'pick_up_flag']","when when possible touch tree , pick up flag",F(touch_tree)->pick_up_flag
5219,"['going_to_tree', 'get_close_flag']",going to tree or at some time get close flag,going_to_tree|F(get_close_flag)
4970,"['grab_orange', 'pick_up_fruit']",when possible grab orange or pick up fruit,F(grab_orange)|pick_up_fruit
1553,"['venture_to_house', 'secure_apple']",at some time venture to house or secure apple,F(venture_to_house)|secure_apple
4834,"['capture_orange', 'show_yourself_near_house']",capture orange or whenever show yourself near house,capture_orange|F(show_yourself_near_house)
5601,"['move_around', 'journey_by_house']",always move around or at some time journey by house,G(move_around)|F(journey_by_house)
5368,"['pick_up_peach', 'drop_orange']",whenever pick up peach and never drop orange,F(pick_up_peach)&G(~(drop_orange))
1872,"['bring_pear', 'venture_towards_house']","when whenever bring pear , venture towards house",F(bring_pear)->venture_towards_house
4890,"['shift_to_flag', 'visit_tree']",whenever shift to flag can infer that visit tree,F(shift_to_flag)->visit_tree
2259,"['get_to_tree', 'got_to_house']",get to tree or whenever got to house,get_to_tree|F(got_to_house)
5060,"['gather_apple', 'tax_apple']",gather apple and when possible tax apple,gather_apple&F(tax_apple)
1713,"['snatch_up_pear', 'venture_flag']",snatch up pear or whenever venture flag,snatch_up_pear|F(venture_flag)
1883,"['present_at_flag', 'present_at_flag']",when possible present at flag and at some time present at flag,F(present_at_flag)&F(present_at_flag)
3660,"['yield_pear', 'go_near_flag']",at some time yield pear and whenever go near flag,F(yield_pear)&F(go_near_flag)
1789,"['be_at_flag', 'going_to_house']",at any time be at flag or whenever going to house,F(be_at_flag)|F(going_to_house)
3312,"['put_in_apple_bucket', 'stand_by_tree']",put in apple bucket and at some time stand by tree,put_in_apple_bucket&F(stand_by_tree)
1308,"['drop_pear', 'go_to_trashcan']",drop pear and when possible go to trashcan,drop_pear&F(go_to_trashcan)
1374,"['start_going_to_house', 'go_to_trashcan']",at some time start going to house or when possible go to trashcan,F(start_going_to_house)|F(go_to_trashcan)
4003,"['pick_up_orange', 'travel_to_flag']",pick up orange or whenever travel to flag,pick_up_orange|F(travel_to_flag)
3772,"['going_to_tree', 'going_to_tree']","if going to tree , going to tree",going_to_tree->going_to_tree
1919,"['present_at_flag', 'secure_apple']",at some time present at flag or secure apple,F(present_at_flag)|secure_apple
4989,"['have_possession_of_apple', 'grasp_orange']",when possible have possession of apple or grasp orange,F(have_possession_of_apple)|grasp_orange
2130,"['get_near_flag', 'snag_orange']",at any time get near flag or at any time snag orange,F(get_near_flag)|F(snag_orange)
4677,"['go_past_flag', 'pick_up_orange']",at some time go past flag and pick up orange,F(go_past_flag)&pick_up_orange
1556,"['take_orange', 'make_way_to_house']",take orange or repeatedly make way to house,take_orange|G(F(make_way_to_house))
2582,"['go_to_trash_bin', 'proceed_to_flag']",when possible go to trash bin or whenever proceed to flag,F(go_to_trash_bin)|F(proceed_to_flag)
5092,"['put_in_bin', 'scoop_up_pear']",put in bin until whenever scoop up pear,put_in_binUF(scoop_up_pear)
1498,"['venture_towards_house', 'present_at_flag']",venture towards house and at any time present at flag,venture_towards_house&F(present_at_flag)
4466,"['visit_waste_basket', 'yield_pear']",at some time visit waste basket and at any time yield pear,F(visit_waste_basket)&F(yield_pear)
1773,"['present_at_flag', 'present_at_flag']",when possible present at flag or at some time present at flag,F(present_at_flag)|F(present_at_flag)
4478,"['travel_to_house', 'move_past_trash_can']",when possible travel to house or whenever move past trash can,F(travel_to_house)|F(move_past_trash_can)
5095,"['go_to_apple', 'journey_by_house']",at any time go to apple and at some time journey by house,F(go_to_apple)&F(journey_by_house)
4433,"['approach_tree', 'visit_waste_basket']",approach tree can infer that when possible visit waste basket,approach_tree->F(visit_waste_basket)
1781,"['advance_to_tree', 'let_go_pear']",advance to tree or do not let go pear,advance_to_tree|~(let_go_pear)
1599,"['acquire_apple', 'proceed_to_house']",acquire apple or at any time proceed to house,acquire_apple|F(proceed_to_house)
1843,"['venture_flag', 'move_to_trashcan']",at any time venture flag can infer that move to trashcan,F(venture_flag)->move_to_trashcan
1689,"['go_to_transh_can', 'snatch_up_pear']",at some time go to transh can or snatch up pear,F(go_to_transh_can)|snatch_up_pear
1677,"['keep_apple', 'migrate_to_tree']",keep apple and at any time migrate to tree,keep_apple&F(migrate_to_tree)
2038,"['drop_orange', 'let_go_orange']",drop orange until never let go orange,drop_orangeUG(~(let_go_orange))
3024,"['drop_orange', 'seize_apple']",never drop orange and seize apple,G(~(drop_orange))&seize_apple
2657,"['capture_orange', 'make_your_way_flag']","if capture orange , when possible make your way flag",capture_orange->F(make_your_way_flag)
1825,"['drop_apple', 'go_by_waste_bin']",never drop apple and go by waste bin,G(~(drop_apple))&go_by_waste_bin
1722,"['advance_to_tree', 'let_go_pear']",advance to tree and do not let go pear,advance_to_tree&~(let_go_pear)
1490,"['go_to_pear', 'visit_flag']",repeatedly go to pear or when possible visit flag,G(F(go_to_pear))|F(visit_flag)
5568,"['go_to_bucket', 'reach_trash_can']",go to bucket or reach trash can,go_to_bucket|reach_trash_can
1181,"['withhold_apple', 'withhold_apple']",when possible withhold apple and when possible withhold apple,F(withhold_apple)&F(withhold_apple)
2239,"['reach_tree', 'let_go_apple']",whenever reach tree and never let go apple,F(reach_tree)&G(~(let_go_apple))
1414,"['withhold_apple', 'go_by_waste_bin']",at some time withhold apple or go by waste bin,F(withhold_apple)|go_by_waste_bin
5397,"['take_pear', 'venture_house']",take pear and whenever venture house,take_pear&F(venture_house)
1023,"['seize_apple', 'get_close_flag']",seize apple and whenever get close flag,seize_apple&F(get_close_flag)
4739,"['pass_by_waste_receptacle', 'move_forward_trash_can']",at any time pass by waste receptacle and at any time move forward trash can,F(pass_by_waste_receptacle)&F(move_forward_trash_can)
4134,"['get_orange', 'get_hold_apple']",at any time get orange or at some time get hold apple,F(get_orange)|F(get_hold_apple)
5567,"['be_near_tree', 'stop_by_trash_can']",at some time be near tree and at any time stop by trash can,F(be_near_tree)&F(stop_by_trash_can)
2173,"['take_to_trashcan', 'go_near_house']",take to trashcan and when possible go near house,take_to_trashcan&F(go_near_house)
2809,"['go_to_bucket', 'make_way_to_house']",go to bucket or repeatedly make way to house,go_to_bucket|G(F(make_way_to_house))
3546,"['travel_to_house', 'move_forward_trash_can']",whenever travel to house means that when possible move forward trash can,F(travel_to_house)->F(move_forward_trash_can)
1506,"['withhold_apple', 'venture_to_house']",at some time withhold apple or at some time venture to house,F(withhold_apple)|F(venture_to_house)
2460,"['reach_house', 'be_in_houses_vicinity']","if reach house , at any time be in house's vicinity",reach_house->F(be_in_houses_vicinity)
4693,"['pick_up_flag', 'venture_to_flag']","when pick up flag , when possible venture to flag",pick_up_flag->F(venture_to_flag)
4122,"['visit_waste_basket', 'go_by_trash_can']",when possible visit waste basket and always go by trash can,F(visit_waste_basket)&G(go_by_trash_can)
1067,"['present_at_flag', 'venture_towards_house']","if whenever present at flag , venture towards house",F(present_at_flag)->venture_towards_house
2176,"['visit_trash_bin', 'get_to_tree']","if whenever visit trash bin , get to tree",F(visit_trash_bin)->get_to_tree
5660,"['withold_apple', 'touch_tree']",at some time withold apple or at any time touch tree,F(withold_apple)|F(touch_tree)
1473,"['bring_pear', 'go_by_waste_basket']",at some time bring pear and at some time go by waste basket,F(bring_pear)&F(go_by_waste_basket)
2723,"['touch_tree', 'travel_to_trash_can']",at any time touch tree and when possible travel to trash can,F(touch_tree)&F(travel_to_trash_can)
2862,"['go_to_bucket', 'get_to_cup']",go to bucket and when possible get to cup,go_to_bucket&F(get_to_cup)
1708,"['withdraw_pear', 'withdraw_pear']",whenever withdraw pear and whenever withdraw pear,F(withdraw_pear)&F(withdraw_pear)
5616,"['go_to_trash_can', 'withold_apple']","if when possible go to trash can , when possible withold apple",F(go_to_trash_can)->F(withold_apple)
5946,"['go_to_trash_bin', 'go_to_trash_can']","if when possible go to trash bin , whenever go to trash can",F(go_to_trash_bin)->F(go_to_trash_can)
1204,"['withold_apple', 'put_in_apple_bucket']",at any time withold apple and put in apple bucket,F(withold_apple)&put_in_apple_bucket
5670,"['drop_orange', 'go_by_flag']",never drop orange and whenever go by flag,G(~(drop_orange))&F(go_by_flag)
4249,"['show_yourself_near_house', 'take_apple']",at any time show yourself near house and take apple,F(show_yourself_near_house)&take_apple
3749,"['visit_tree', 'get_hold_of_orange']",visit tree until at some time get hold of orange,visit_treeUF(get_hold_of_orange)
2639,"['drop_orange', 'take_apple']",drop orange or take apple,drop_orange|take_apple
1067,"['grab_tree', 'be_in_houses_vicinity']",repeatedly grab tree or whenever be in house's vicinity,G(F(grab_tree))|F(be_in_houses_vicinity)
5590,"['go_to_trash_bin', 'go_to_pear']",whenever go to trash bin or repeatedly go to pear,F(go_to_trash_bin)|G(F(go_to_pear))
3909,"['set_out_to_house', 'tax_apple']",at some time set out to house and at some time tax apple,F(set_out_to_house)&F(tax_apple)
3191,"['pick_up_apple', 'travel_to_house']",when possible pick up apple and at some time travel to house,F(pick_up_apple)&F(travel_to_house)
3611,"['move', 'move_past_trash_can']",always move or at some time move past trash can,G(move)|F(move_past_trash_can)
2226,"['seize_apple', 'grab_apple']",seize apple or at some time grab apple,seize_apple|F(grab_apple)
1104,"['move', 'drop_apple']",always move and never drop apple,G(move)&G(~(drop_apple))
4719,"['have_apple', 'secure_pear']",always have apple or whenever secure pear,G(have_apple)|F(secure_pear)
3625,"['come_home', 'grasp_pear']",whenever come home or whenever grasp pear,F(come_home)|F(grasp_pear)
1012,"['venture_flag', 'move_near_tree']",when possible venture flag or when possible move near tree,F(venture_flag)|F(move_near_tree)
1032,"['going_to_flag', 'touch_tree']","when at any time going to flag , at some time touch tree",F(going_to_flag)->F(touch_tree)
2180,"['getting_pear', 'take_apple']",at any time getting pear until take apple,F(getting_pear)Utake_apple
4759,"['approach_flag', 'come_home']",at any time approach flag or when possible come home,F(approach_flag)|F(come_home)
1511,"['withhold_apple', 'go_by_waste_bin']",whenever withhold apple or go by waste bin,F(withhold_apple)|go_by_waste_bin
1293,"['go_by_waste_basket', 'venture_towards_house']",when possible go by waste basket and venture towards house,F(go_by_waste_basket)&venture_towards_house
3153,"['let_go_apple', 'secure_pear']",never let go apple or at any time secure pear,G(~(let_go_apple))|F(secure_pear)
2186,"['getting_pear', 'travel_by_tree']",whenever getting pear or at some time travel by tree,F(getting_pear)|F(travel_by_tree)
3368,"['acquire_orange', 'going_to_flag']",acquire orange and at any time going to flag,acquire_orange&F(going_to_flag)
3831,"['go_to_flag', 'obtain_pear']",when possible go to flag or whenever obtain pear,F(go_to_flag)|F(obtain_pear)
4662,"['go_to_trash_can', 'come_home']",when possible go to trash can and whenever come home,F(go_to_trash_can)&F(come_home)
1233,"['grip_apple', 'grab_flag']",grip apple or at some time grab flag,grip_apple|F(grab_flag)
1642,"['present_at_flag', 'drop_apple']",when possible present at flag until never drop apple,F(present_at_flag)UG(~(drop_apple))
2491,"['grab_flag', 'make_way_waste_basket']",at any time grab flag or whenever make way waste basket,F(grab_flag)|F(make_way_waste_basket)
2158,"['stop_by_house', 'let_go_orange']",whenever stop by house and don't let go orange,F(stop_by_house)&~(let_go_orange)
1672,"['go_by_waste_bin', 'present_at_flag']",go by waste bin or whenever present at flag,go_by_waste_bin|F(present_at_flag)
2484,"['contact_house', 'going_to_house']",at some time contact house and when possible going to house,F(contact_house)&F(going_to_house)
3928,"['getting_pear', 'procure_orange']",at any time getting pear or at any time procure orange,F(getting_pear)|F(procure_orange)
4978,"['pick_up_peach', 'journey_to_tree']",at any time pick up peach or when possible journey to tree,F(pick_up_peach)|F(journey_to_tree)
3062,"['proceed_to_house', 'be_near_tree']",whenever proceed to house or at some time be near tree,F(proceed_to_house)|F(be_near_tree)
