id,propositions,nl_sentence,dataset_tl
90,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If you do (prop_4) and observe (prop_2), then do (prop_1) until you do (prop_3) .",((prop_4 & prop_2) -> (prop_1 U prop_3))
91,"['prop_1', 'prop_2', 'prop_3']",On condition that ( prop_1 ) and ( prop_3 ) then the following condition holds : ( prop_2 ) .,G((prop_1 & prop_3) -> prop_2)
92,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","Globally , when ( prop_2 ) or ( prop_3 ) then at the same time ( prop_4 ) and ( prop_1 ) .",G((prop_2 | prop_3) -> (prop_4 & prop_1))
93,"['prop_1', 'prop_2', 'prop_3']","In the case ( prop_1 ) then all of the following conditions are true : immediately ( prop_2 ) , and without any delay the event that ( prop_3 ) will occur .",G(prop_1 -> (prop_2 & prop_3))
94,"['prop_1', 'prop_2', 'prop_3']","Globally , if the event that ( prop_2 ) occurs and ( prop_3 ) , then in response ( prop_1 ) .",G((prop_2 & prop_3) -> prop_1)
95,"['prop_1', 'prop_2', 'prop_3']","In case that the event that ( prop_2 ) occurs then the following condition holds : at the same time ( prop_3 ) , or the scenario that ( prop_1 ) shall be observed in no time .",G(prop_2 -> (prop_3 | prop_1))
96,"['prop_1', 'prop_2', 'prop_3']","In case that ( prop_2 ) and ( prop_1 ) , then in response ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
97,"['prop_1', 'prop_2', 'prop_3']",Whenever ( prop_2 ) then all of the following conditions hold : at the same time instant ( prop_1 ) or at once the scenario that ( prop_3 ) wo n't be observed .,G(prop_2 -> (prop_1 | prop_3))
98,"['prop_1', 'prop_2']","Globally , in case that the transition action that ( prop_1 ) gets observed then the following condition is true : ( prop_2 ) .",G(prop_1 -> prop_2)
99,"['prop_1', 'prop_2']","Globally , if the event that ( prop_1 ) gets detected , then the following condition holds : ( prop_2 ) .",G(prop_1 -> prop_2)
100,"['prop_1', 'prop_2']",never ( prop_1 ) and whenever ( prop_2 ),G(~prop_1 & F prop_2)
101,"['prop_1', 'prop_2']",( prop_1 ) and at some time ( prop_2 ),(prop_1 & F prop_2)
102,"['prop_1', 'prop_2']",whenever ( prop_1 ) or at some time ( prop_2 ),F(prop_1 | F prop_2)
103,"['prop_1', 'prop_2', 'prop_3']","Globally , if the scenario that ( prop_1 ) occurs or ( prop_2 ) then the following condition is true : at the same time point ( prop_3 ) .",G((prop_1 | prop_2) -> prop_3)
104,"['prop_1', 'prop_2', 'prop_3', 'prop_4']",It is always the case that in case that ( prop_3 ) and the transition action that ( prop_4 ) takes place then in response at the same time instant ( prop_2 ) and at once ( prop_1 ) .,G((prop_3 & prop_4) -> (prop_2 & prop_1))
105,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) , and ( prop_2 ) then all of the following conditions are true : ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
106,"['prop_1', 'prop_2']",at any time ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2)
107,"['prop_1', 'prop_2', 'prop_3']","Everytime when the transition action that ( prop_3 ) is observed , then the following condition is true : ( prop_1 ) , and at the same moment ( prop_2 ) .",G(prop_3 -> (prop_1 & prop_2))
108,"['prop_1', 'prop_2', 'prop_3']","As soon as the event that ( prop_1 ) then the following condition is true : ( prop_2 ) , and the scenario that ( prop_3 ) will have to be detected at the same time .",G(prop_1 -> (prop_2 & prop_3))
109,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_1 ) , and ( prop_2 ) , then in response ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
110,"['prop_1', 'prop_2', 'prop_3']","Whenever ( prop_1 ) , and ( prop_3 ) then in response ( prop_2 ) .",G((prop_1 & prop_3) -> prop_2)
111,"['prop_1', 'prop_2']",It is always the case that everytime when the transition action that ( prop_1 ) occurs then the following condition is true : ( prop_2 ) .,G(prop_1 -> prop_2)
112,"['prop_1', 'prop_2', 'prop_3']",It is always the case that everytime when the event that ( prop_1 ) takes place then in response ( prop_2 ) and ( prop_3 ) .,G(prop_1 -> (prop_2 & prop_3))
113,"['prop_1', 'prop_2', 'prop_3']",It is always the case that while ( prop_3 ) and ( prop_2 ) then all of the following conditions are true : ( prop_1 ) .,G((prop_3 & prop_2) -> prop_1)
114,"['prop_1', 'prop_2']",( prop_1 ) and ( prop_2 ),(prop_1 & prop_2)
115,"['prop_1', 'prop_2']",at some time ( prop_1 ) or when possible ( prop_2 ),F(prop_1 | F prop_2)
116,"['prop_1', 'prop_2', 'prop_3']","(prop_3) or (prop_2), and always keep doing (prop_1) .",((prop_3 | prop_2) & G prop_1)
117,"['prop_1', 'prop_2', 'prop_3']","While ( prop_1 ) and ( prop_2 ) , then ( prop_3 ) .",G((prop_1 & prop_2) -> G prop_3)
118,"['prop_1', 'prop_2', 'prop_3']","It is always the case that if ( prop_2 ) , then the following condition holds : simultaneously the event that ( prop_3 ) needs to be detected , or ( prop_1 ) .",G(prop_2 -> (prop_3 | prop_1))
119,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that the transition action that ( prop_2 ) occurs , then the following condition is true : promptly ( prop_1 ) , and ( prop_3 ) .",G(prop_2 -> (prop_1 & prop_3))
120,"['prop_1', 'prop_2', 'prop_3']",In the case ( prop_2 ) then the following condition holds : ( prop_1 ) and this condition will have to hold consistently till ultimately ( prop_3 ) .,G(prop_2 -> (prop_1 U prop_3))
121,"['prop_1', 'prop_2', 'prop_3']",When the event that ( prop_2 ) happens then the following condition holds : starting without any delay the event that ( prop_3 ) will not get detected and at the same moment ( prop_1 ) .,G(prop_2 -> (prop_3 & prop_1))
122,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the scenario that ( prop_3 ) is detected , then ( prop_2 ) , and ( prop_1 ) .",G(prop_3 -> (prop_2 & prop_1))
123,"['prop_1', 'prop_2']","Globally , when the scenario that ( prop_1 ) takes place , then the following condition holds : ( prop_2 ) .",G(prop_1 -> prop_2)
124,"['prop_1', 'prop_2', 'prop_3']","At some point ( prop_3 ) happens , or else ( prop_1 ) and ( prop_2 ) should happen .",( F prop_3 | (prop_1 & prop_2))
125,"['prop_1', 'prop_2']",when possible ( prop_1 ) or never ( prop_2 ),F(prop_1 | G(~prop_2))
126,"['prop_1', 'prop_2', 'prop_3']","Globally , whenever ( prop_3 ) , and ( prop_1 ) then in response at the same moment ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
127,['prop_1'],be sure to (prop_1),F prop_1
128,"['prop_1', 'prop_2']",never ( prop_1 ) or at any time ( prop_2 ),G(~prop_1 | F prop_2)
129,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) , or ( prop_1 ) , then all of the following conditions hold : ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
130,"['prop_1', 'prop_2', 'prop_3']","As soon as ( prop_1 ) , or ( prop_3 ) , then all of the following conditions hold : ultimately there exists sometime in the future before the end of the execution , at which ( prop_2 ) and this scenario needs to consecutively last for every time instant during the coming 11 to 34 time units .",G((prop_1 | prop_3) -> F( G prop_2))
131,"['prop_1', 'prop_2']",repeatedly ( prop_1 ) or at any time ( prop_2 ),G( F prop_1 | F prop_2)
132,"['prop_1', 'prop_2', 'prop_3']",It is always the case that whenever the transition action that ( prop_1 ) happens or ( prop_3 ) then in response ( prop_2 ) .,G((prop_1 | prop_3) -> prop_2)
133,"['prop_1', 'prop_2', 'prop_3']","On condition that ( prop_3 ) , and ( prop_1 ) then all of the following conditions are true : starting without any delay ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
134,"['prop_1', 'prop_2', 'prop_3']","It is always the case that while ( prop_1 ) and ( prop_3 ) , then the following condition holds : immediately the scenario that ( prop_2 ) should never be detected .",G((prop_1 & prop_3) -> prop_2)
135,"['prop_1', 'prop_2', 'prop_3']","Globally , during the interval that ( prop_1 ) , and ( prop_2 ) , then the following condition is true : instantly ( prop_3 ) .",G((prop_1 & prop_2) -> prop_3)
136,"['prop_1', 'prop_2', 'prop_3']","Globally , when the event that ( prop_3 ) is detected then in response at the same moment ( prop_2 ) , and the transition action that ( prop_1 ) needs to instantly get detected .",G(prop_3 -> (prop_2 & prop_1))
137,"['prop_1', 'prop_2', 'prop_3']","In case that the transition action that ( prop_2 ) takes place , then the following condition holds : ( prop_3 ) and ( prop_1 ) .",G(prop_2 -> (prop_3 & prop_1))
138,"['prop_1', 'prop_2']",when possible ( prop_1 ) or at any time ( prop_2 ),F(prop_1 | F prop_2)
139,"['prop_1', 'prop_2']",(prop_1) and (prop_2).,(prop_1 & prop_2)
140,"['prop_1', 'prop_2', 'prop_3']","Globally , in case that ( prop_2 ) and ( prop_1 ) , then in no time ( prop_3 ) .",G((prop_2 & prop_1) -> prop_3)
141,"['prop_1', 'prop_2', 'prop_3']","Globally , when ( prop_2 ) then the following condition is true : immediately ( prop_1 ) , and without any delay the event that ( prop_3 ) will occur .",G(prop_2 -> (prop_1 & prop_3))
142,"['prop_1', 'prop_2', 'prop_3']",In the case the event that ( prop_3 ) is observed then in response the scenario that ( prop_1 ) shall happen at the same moment or at the same time ( prop_2 ) .,G(prop_3 -> (prop_1 | prop_2))
143,"['prop_1', 'prop_2']",repeatedly ( prop_1 ) or when possible ( prop_2 ),G( F prop_1 | F prop_2)
144,"['prop_1', 'prop_2', 'prop_3']",(prop_3) until (prop_2). (prop_1).,(prop_3 U prop_2) & prop_1
145,"['prop_1', 'prop_2', 'prop_3']",( prop_2 ) and ( prop_3 ) and ( prop_1 ) .,((prop_2 & prop_3) & prop_1)
146,['prop_1'],Assure that you (prop_1),F prop_1
147,"['prop_1', 'prop_2', 'prop_3', 'prop_4']",(prop_2) or (prop_3). (prop_1) until (prop_4).,((prop_2 | prop_3) & (prop_1 U prop_4))
148,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when the event that ( prop_1 ) gets observed then the following condition is true : ( prop_2 ) and the scenario that ( prop_3 ) will occur .",G(prop_1 -> (prop_2 & prop_3))
149,"['prop_1', 'prop_2', 'prop_3', 'prop_4']",If ( prop_1 ) and ( prop_3 ) and the scenario that ( prop_2 ) is detected then it should be the case that ( prop_4 ) .,(((prop_1 & prop_3) & prop_2) -> prop_4)
150,"['prop_1', 'prop_2', 'prop_3']","If ( prop_3 ) , and ( prop_1 ) then right away ( prop_2 ) .",G((prop_3 & prop_1) -> prop_2)
151,"['prop_1', 'prop_2', 'prop_3']","It is always the case that whenever ( prop_2 ) , then ( prop_1 ) , and immediately ( prop_3 ) .",G(prop_2 -> (prop_1 & prop_3))
152,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","In case that ( prop_1 ) , and ( prop_2 ) , then the following condition is true : promptly ( prop_3 ) , and at the same time point ( prop_4 ) .",G((prop_1 & prop_2) -> (prop_3 & prop_4))
153,"['prop_1', 'prop_2']",at some time ( prop_1 ) or whenever ( prop_2 ),F(prop_1 | F prop_2)
154,"['prop_1', 'prop_2']",( prop_1 ) or when possible ( prop_2 ),(prop_1 | F prop_2)
155,"['prop_1', 'prop_2']",when possible ( prop_1 ) until ( prop_2 ),F(prop_1 U prop_2)
156,"['prop_1', 'prop_2', 'prop_3', 'prop_4']","If ( prop_2 ) then ( prop_4 ) , or else ( prop_3 ) , or else ( prop_1 ) .",(((prop_2 -> prop_4) | prop_3) | prop_1)
157,"['prop_1', 'prop_2']",forever ( prop_1 ) or at some time ( prop_2 ),G(prop_1 | F prop_2)
158,"['prop_1', 'prop_2']",at some time ( prop_1 ) and whenever ( prop_2 ),F(prop_1 & F prop_2)
159,"['prop_1', 'prop_2']",( prop_1 ) and ( prop_2 ),(prop_1 & prop_2)
160,"['prop_1', 'prop_2', 'prop_3']","Everytime when ( prop_2 ) and ( prop_3 ) , then all of the following conditions are true : for every moment in the future before the simulation ends at a certain moment in the future , ultimately ( prop_1 ) .",G((prop_2 & prop_3) -> G( F prop_1))
161,"['prop_1', 'prop_2']",at any time ( prop_1 ) and at any time ( prop_2 ),F(prop_1 & F prop_2)
162,"['prop_1', 'prop_2']",do not ( prop_1 ) or at some time ( prop_2 ),~(prop_1 | F prop_2)
163,"['prop_1', 'prop_2', 'prop_3']","Globally , everytime when ( prop_2 ) or the scenario that ( prop_1 ) gets observed , then the following condition holds : ( prop_3 ) .",G((prop_2 | prop_1) -> prop_3)
